"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2021W42","2021 Week 42","20","Bus, excluding Dublin Metro","Number","609960"
"THA25C01","Passenger Journeys","2021W42","2021 Week 42","30","Rail","Number","462006"
"THA25C01","Passenger Journeys","2021W42","2021 Week 42","40","All public transport, excluding LUAS","Number","3332179"
"THA25C01","Passenger Journeys","2021W43","2021 Week 43","10","Dublin Metro Bus","Number","1815542"
"THA25C01","Passenger Journeys","2021W43","2021 Week 43","20","Bus, excluding Dublin Metro","Number","501525"
"THA25C01","Passenger Journeys","2021W43","2021 Week 43","30","Rail","Number","440154"
"THA25C01","Passenger Journeys","2021W43","2021 Week 43","40","All public transport, excluding LUAS","Number","2757221"
"THA25C01","Passenger Journeys","2021W44","2021 Week 44","10","Dublin Metro Bus","Number","2239515"
"THA25C01","Passenger Journeys","2021W44","2021 Week 44","20","Bus, excluding Dublin Metro","Number","588321"
"THA25C01","Passenger Journeys","2021W44","2021 Week 44","30","Rail","Number","569327"
"THA25C01","Passenger Journeys","2021W44","2021 Week 44","40","All public transport, excluding LUAS","Number","3397163"
"THA25C01","Passenger Journeys","2021W45","2021 Week 45","10","Dublin Metro Bus","Number","2258734"
"THA25C01","Passenger Journeys","2021W45","2021 Week 45","20","Bus, excluding Dublin Metro","Number","592538"
"THA25C01","Passenger Journeys","2021W45","2021 Week 45","30","Rail","Number","570080"
"THA25C01","Passenger Journeys","2021W45","2021 Week 45","40","All public transport, excluding LUAS","Number","3421352"
"THA25C01","Passenger Journeys","2021W46","2021 Week 46","10","Dublin Metro Bus","Number","2218390"
"THA25C01","Passenger Journeys","2021W46","2021 Week 46","20","Bus, excluding Dublin Metro","Number","598813"
"THA25C01","Passenger Journeys","2021W46","2021 Week 46","30","Rail","Number","509671"
"THA25C01","Passenger Journeys","2021W46","2021 Week 46","40","All public transport, excluding LUAS","Number","3326874"
