"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02639V03196","Day of Week","C03839V04589","Bus City Services","UNIT","VALUE"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","4","Wednesday","50","Dublin Bus","Number","457391"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","5","Thursday","10","Cork city","Number","55012"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","5","Thursday","20","Galway city","Number","23417"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","5","Thursday","30","Limerick city","Number","20215"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","5","Thursday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","5","Thursday","50","Dublin Bus","Number","461804"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","6","Friday","10","Cork city","Number","54556"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","6","Friday","20","Galway city","Number","23277"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","6","Friday","30","Limerick city","Number","19995"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","6","Friday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","6","Friday","50","Dublin Bus","Number","458740"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","7","Saturday","10","Cork city","Number","40210"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","7","Saturday","20","Galway city","Number","17446"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","7","Saturday","30","Limerick city","Number","14402"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","7","Saturday","40","Waterford city","Number",""
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2023","2023","7","Saturday","50","Dublin Bus","Number","342926"
