"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02639V03196","Day of Week","C03839V04589","Bus City Services","UNIT","VALUE"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","2","Monday","20","Galway city","Number","15875"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","2","Monday","30","Limerick city","Number","10190"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","2","Monday","40","Waterford city","Number","1517"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","2","Monday","50","Dublin Bus","Number","392598"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","3","Tuesday","10","Cork city","Number","49301"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","3","Tuesday","20","Galway city","Number","17338"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","3","Tuesday","30","Limerick city","Number","10961"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","3","Tuesday","40","Waterford city","Number","1729"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","3","Tuesday","50","Dublin Bus","Number","422732"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","4","Wednesday","10","Cork city","Number","50315"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","4","Wednesday","20","Galway city","Number","17567"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","4","Wednesday","30","Limerick city","Number","11562"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","4","Wednesday","40","Waterford city","Number","1895"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","4","Wednesday","50","Dublin Bus","Number","445867"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","5","Thursday","10","Cork city","Number","51478"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","5","Thursday","20","Galway city","Number","17992"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","5","Thursday","30","Limerick city","Number","11695"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","5","Thursday","40","Waterford city","Number","1963"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","5","Thursday","50","Dublin Bus","Number","445176"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","6","Friday","10","Cork city","Number","52328"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","6","Friday","20","Galway city","Number","17877"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","6","Friday","30","Limerick city","Number","11554"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","6","Friday","40","Waterford city","Number","1965"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","6","Friday","50","Dublin Bus","Number","447156"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","7","Saturday","10","Cork city","Number","35569"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","7","Saturday","20","Galway city","Number","13068"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","7","Saturday","30","Limerick city","Number","7997"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","7","Saturday","40","Waterford city","Number","1154"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2019","2019","7","Saturday","50","Dublin Bus","Number","297418"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","-","All days","10","Cork city","Number","150662"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","-","All days","20","Galway city","Number","57876"
"TOA15","Average weekly flow of Dublin Bus and Bus Éireann passengers","2020","2020","-","All days","30","Limerick city","Number","43541"
